Time,GEMS_GEMS_SPENT
2005/1/17,1199436
2005/2/17,1045515
2005/3/17,586111
2005/4/17,856601
2005/5/17,793775
2005/6/17,606535
2005/7/17,1112763
2005/8/17,1121218
2005/9/17,813844
2005/10/17,903343
2005/11/17,863465
2005/12/17,639224
5/13/17,1030389
5/14/17,1132645
5/15/17,1018672
5/16/17,1726870
5/17/17,1378430
5/18/17,532950
5/19/17,828238
5/20/17,823948
5/21/17,592549
5/22/17,939337
5/23/17,862611
5/24/17,551557
5/25/17,878375
5/26/17,784535
5/27/17,613603
5/28/17,1054658
5/29/17,1026401
5/30/17,682284
5/31/17,986644
2006/1/17,924769
2006/2/17,633489
2006/3/17,1044957
2006/4/17,1088685
2006/5/17,798582
2006/6/17,1139786
2006/7/17,1066560
2006/8/17,754706
2006/9/17,1199406
2006/10/17,1186341
2006/11/17,958210
2006/12/17,1564553
6/13/17,1470865
6/14/17,1201275
6/15/17,2418723
6/16/17,2123070
6/17/17,978338
6/18/17,1536623
6/19/17,1420586
6/20/17,966259
6/21/17,1232735
6/22/17,1090762
6/23/17,763828
6/24/17,1153383
6/25/17,1074039
6/26/17,733943
6/27/17,1103070
6/28/17,1123779
6/29/17,752524
6/30/17,1123866
2007/1/17,1051964
2007/2/17,756827
2007/3/17,1109486
2007/4/17,1059961
2007/5/17,691291
2007/6/17,985221
2007/7/17,932805
2007/8/17,641340
2007/9/17,1038572
2007/10/17,1037868
2007/11/17,732303
2007/12/17,962492
7/13/17,875898
7/14/17,1029902
7/15/17,1917268
7/16/17,1662445
7/17/17,791812
7/18/17,1061339
7/19/17,968767
7/20/17,685321
7/21/17,1020324
7/22/17,995864
7/23/17,785353
7/24/17,1192613
7/25/17,1068292
7/26/17,710820
7/27/17,1048429
7/28/17,991163
7/29/17,701672
7/30/17,1239717
7/31/17,1261953
2008/1/17,857930
2008/2/17,1208488
2008/3/17,1165563
2008/4/17,821228
2008/5/17,1304837
2008/6/17,1385061
2008/7/17,1143864
2008/8/17,1420747
2008/9/17,1082965
2008/10/17,896817
2008/11/17,1309864
2008/12/17,1389726
8/13/17,1336787
8/14/17,2426361
8/15/17,1893231
8/16/17,795571
8/17/17,1228308
8/18/17,1171824
8/19/17,832872
8/20/17,1647205
8/21/17,1675743
8/22/17,1269681
8/23/17,1904623
8/24/17,1594601
8/25/17,1162089
8/26/17,1754296
8/27/17,1746942
8/28/17,1325245
8/29/17,1614025
8/30/17,1372725
8/31/17,990184
2009/1/17,1492608
2009/2/17,1426323
2009/3/17,1228686
2009/4/17,1735632
2009/5/17,1470880
2009/6/17,1022235
2009/7/17,1466472
2009/8/17,1381460
2009/9/17,1123100
2009/10/17,1908051
2009/11/17,1925878
2009/12/17,1539409
9/13/17,2566462
9/14/17,2046640
9/15/17,949784
9/16/17,1260130
9/17/17,1025393
9/18/17,795070
9/19/17,1005711
9/20/17,934316
9/21/17,672780
9/22/17,977338
9/23/17,952165
9/24/17,799347
9/25/17,1128242
9/26/17,1004572
9/27/17,722362
9/28/17,1017760
9/29/17,969319
9/30/17,732678
2010/1/17,1212104
2010/2/17,1190644
2010/3/17,845058
2010/4/17,1125893
2010/5/17,1085597
2010/6/17,814176
2010/7/17,1241656
2010/8/17,1458628
2010/9/17,1228912
2010/10/17,1489464
2010/11/17,1445240
2010/12/17,1269546
10/13/17,2209056
10/14/17,1872115
10/15/17,1028471
10/16/17,1434433
10/17/17,1274497
10/18/17,918567
10/19/17,1286976
10/20/17,1211880
10/21/17,977253
10/22/17,1491771
10/23/17,1411582
10/24/17,1016348
10/25/17,1447929
10/26/17,1387572
10/27/17,1057798
10/28/17,1505543
10/29/17,1440709
10/30/17,1134088
10/31/17,1434024
2011/1/17,1306378
2011/2/17,965258
2011/3/17,1316822
2011/4/17,985845
2011/5/17,931888
2011/6/17,1290728
2011/7/17,1210535
2011/8/17,954986
2011/9/17,1363671
2011/10/17,1413365
2011/11/17,1298822
2011/12/17,2328862
11/13/17,1880710
11/14/17,898547
11/15/17,1276048
11/16/17,1206946
11/17/17,906266
11/18/17,1365544
11/19/17,1286705
11/20/17,970724
11/21/17,1308139
11/22/17,1223100
11/23/17,925962
11/24/17,1386423
11/25/17,1319390
11/26/17,995244
11/27/17,1365656
11/28/17,1305871
11/29/17,981010
11/30/17,1425631
2012/1/17,1334807
2012/2/17,1021410
2012/3/17,1763160
2012/4/17,1765830
2012/5/17,1597298
2012/6/17,1627717
2012/7/17,1589619
2012/8/17,1283460
2012/9/17,1907036
2012/10/17,1940908
2012/11/17,1677208
2012/12/17,2984329
12/13/17,2524946
12/14/17,1342763
12/15/17,1904900
12/16/17,1815581
12/17/17,1415851
12/18/17,1826552
12/19/17,1708774
12/20/17,1241392
12/21/17,1737367
12/22/17,1913008
12/23/17,1364683
12/24/17,1478238
12/25/17,1342886
12/26/17,1024933
12/27/17,1430514
12/28/17,1372474
12/29/17,1026572
12/30/17,1417844
12/31/17,1679457
2001/1/18,1351801
2001/2/18,2023723
2001/3/18,1543211
2001/4/18,1180192
2001/5/18,1673992
2001/6/18,1707847
2001/7/18,1451361
2001/8/18,1998262
2001/9/18,2162133
2001/10/18,2330069
2001/11/18,2995029
2001/12/18,2421592
1/13/18,1152460
1/14/18,2203248
1/15/18,2135716
1/16/18,1871435
1/17/18,1764628
1/18/18,1985953
1/19/18,1492338
1/20/18,2209397
1/21/18,2136402
1/22/18,1592552
1/23/18,2035135
1/24/18,1806885
1/25/18,1308255
1/26/18,1875120
1/27/18,1722011
1/28/18,1388952
1/29/18,1918963
1/30/18,1783279
1/31/18,1343029
2002/1/18,1930747
2002/2/18,1826320
2002/3/18,1455626
2002/4/18,2294555
2002/5/18,2172449
2002/6/18,1612939
2002/7/18,2117962
2002/8/18,2164330
2002/9/18,1819026
2002/10/18,3242154
2002/11/18,2894633
2002/12/18,1405753
2/13/18,1842610
2/14/18,1707899
2/15/18,1324588
2/16/18,2090271
2/17/18,2119260
2/18/18,1716590
2/19/18,2398088
2/20/18,2166449
2/21/18,1552313
2/22/18,2175548
2/23/18,2122606
2/24/18,1756394
